id,red,green,blue,contrast_ratio,hue,chroma
163,0,0,162,1.52,240,162
164,0,0,163,1.53,240,163
165,0,0,164,1.54,240,164
166,0,0,165,1.54,240,165
167,0,0,166,1.55,240,166
168,0,0,167,1.56,240,167
169,0,0,168,1.57,240,168
170,0,0,169,1.57,240,169
171,0,0,170,1.58,240,170
172,0,0,171,1.59,240,171
173,0,0,172,1.6,240,172
174,0,0,173,1.6,240,173
175,0,0,174,1.61,240,174
176,0,0,175,1.62,240,175
177,0,0,176,1.63,240,176
178,0,0,177,1.63,240,177
179,0,0,178,1.64,240,178
180,0,0,179,1.65,240,179
181,0,0,180,1.66,240,180
182,0,0,181,1.67,240,181
183,0,0,182,1.68,240,182
184,0,0,183,1.68,240,183
185,0,0,184,1.69,240,184
186,0,0,185,1.7,240,185
187,0,0,186,1.71,240,186
188,0,0,187,1.72,240,187
189,0,0,188,1.73,240,188
190,0,0,189,1.73,240,189
191,0,0,190,1.74,240,190
192,0,0,191,1.75,240,191
193,0,0,192,1.76,240,192
194,0,0,193,1.77,240,193
195,0,0,194,1.78,240,194
196,0,0,195,1.79,240,195
197,0,0,196,1.8,240,196
198,0,0,197,1.81,240,197
199,0,0,198,1.82,240,198
200,0,0,199,1.82,240,199
201,0,0,200,1.83,240,200
202,0,0,201,1.84,240,201
203,0,0,202,1.85,240,202
204,0,0,203,1.86,240,203
205,0,0,204,1.87,240,204
206,0,0,205,1.88,240,205
207,0,0,206,1.89,240,206
208,0,0,207,1.9,240,207
209,0,0,208,1.91,240,208
210,0,0,209,1.92,240,209
211,0,0,210,1.93,240,210
212,0,0,211,1.94,240,211
213,0,0,212,1.95,240,212
214,0,0,213,1.96,240,213
215,0,0,214,1.97,240,214
216,0,0,215,1.98,240,215
217,0,0,216,1.99,240,216
218,0,0,217,2,240,217
219,0,0,218,2.01,240,218
220,0,0,219,2.02,240,219
221,0,0,220,2.03,240,220
222,0,0,221,2.04,240,221
223,0,0,222,2.05,240,222
224,0,0,223,2.07,240,223
225,0,0,224,2.08,240,224
226,0,0,225,2.09,240,225
227,0,0,226,2.1,240,226
228,0,0,227,2.11,240,227
229,0,0,228,2.12,240,228
230,0,0,229,2.13,240,229
231,0,0,230,2.14,240,230
232,0,0,231,2.15,240,231
233,0,0,232,2.17,240,232
234,0,0,233,2.18,240,233
235,0,0,234,2.19,240,234
236,0,0,235,2.2,240,235
237,0,0,236,2.21,240,236
238,0,0,237,2.22,240,237
239,0,0,238,2.23,240,238
240,0,0,239,2.25,240,239
241,0,0,240,2.26,240,240
242,0,0,241,2.27,240,241
243,0,0,242,2.28,240,242
244,0,0,243,2.29,240,243
245,0,0,244,2.31,240,244
246,0,0,245,2.32,240,245
247,0,0,246,2.33,240,246
248,0,0,247,2.34,240,247
249,0,0,248,2.36,240,248
250,0,0,249,2.37,240,249
251,0,0,250,2.38,240,250
252,0,0,251,2.39,240,251
253,0,0,252,2.41,240,252
254,0,0,253,2.42,240,253
255,0,0,254,2.43,240,254
256,0,0,255,2.44,240,255
